# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
4.28313, -0.61403, 0.57715, 0.00377, -0.00188
4.29125, -0.61183, 0.57457, 0.003, -0.00194
4.29938, -0.60639, 0.57203, 0.00226, -0.0016
4.3075, -0.60438, 0.56899, 0.00258, -0.00191
4.31562, -0.60173, 0.5673, 0.00227, -0.00214
4.32375, -0.60072, 0.56616, 0.00231, -0.00291
4.33188, -0.60043, 0.56546, 9.37149E-4, -0.00332
4.34, -0.5992, 0.56726, 0.00162, -0.00308
4.34812, -0.59672, 0.5706, 6.72186E-4, -0.0041
4.35625, -0.5926, 0.57068, -0.00128, -0.00304
4.36437, -0.58865, 0.57169, -0.00224, -0.00138
4.3725, -0.58506, 0.57123, -0.00159, -2.03713E-4
4.38063, -0.5832, 0.57209, -5.20121E-4, 6.79119E-4
4.38875, -0.58054, 0.57284, 7.57053E-4, 7.45293E-4
4.39687, -0.57962, 0.5743, 0.00132, 6.38696E-4
4.405, -0.57441, 0.57465, 0.00151, -8.01355E-5
4.41313, -0.5692, 0.57548, 0.00142, 1.29127E-4
4.42125, -0.56486, 0.57547, 0.0018, 8.08934E-6
4.42938, -0.55913, 0.57519, 0.00271, -6.17376E-5
4.4375, -0.55419, 0.57402, 0.00332, -0.00145
4.44562, -0.5504, 0.57212, 0.00254, -0.00224
4.45375, -0.54939, 0.57154, 0.00232, -0.00327
4.46188, -0.54652, 0.57026, 8.1279E-4, -0.00384
4.47, -0.54348, 0.56969, -3.575E-4, -0.00305
4.47813, -0.54007, 0.57184, -0.00134, -0.00204
4.48625, -0.53726, 0.57126, -9.51342E-4, -9.23188E-4
4.49437, -0.53173, 0.57079, 4.88799E-5, -7.80761E-4
4.5025, -0.52827, 0.56768, -3.2826E-4, -0.00114
4.51063, -0.5239, 0.56452, -0.00116, -5.47593E-4
4.51875, -0.52149, 0.56173, -6.67485E-4, 2.3254E-4
4.52688, -0.52063, 0.56002, -4.93144E-4, -3.47546E-5
4.535, -0.5185, 0.56044, -1.48155E-4, 6.15128E-4
