#"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $thetascan='0deg' LSim='4cm'"
2.3,0.982928300078219
2.31,0.981748069212003
2.32,0.980454623049254
2.33,0.979033664759748
2.34,0.977468637194737
2.35,0.975740292286284
2.36,0.973826164506932
2.37,0.971699924019844
2.38,0.969330578266222
2.39,0.966681481754277
2.4,0.963709102071287
2.41,0.960361474781762
2.42,0.956576259814007
2.43,0.952278285842814
2.44,0.947376435513886
2.45,0.941759681580444
2.46,0.935292031084119
2.47,0.927806072245346
2.48,0.919094751631291
2.49,0.908900951984824
2.5,0.896904428907051
2.51,0.882705774509301
2.52,0.865807468640669
2.53,0.845593073589019
2.54,0.821307840232552
2.55,0.792048544164653
2.56,0.756779173964109
2.57,0.714405088947933
2.58,0.663965191449225
2.59,0.605042613354527
2.6,0.538547896488131
2.61,0.468073512240112
2.62,0.401903483164231
2.63,0.354589149330192
2.64,0.342791925342688
2.65,0.37113562406847
2.66,0.426779404000421
2.67,0.493039431179147
2.68,0.558892087146486
2.69,0.6189925725633
2.7,0.671458690169399
2.71,0.716186933006189
2.72,0.753865925040912
2.73,0.785453323693624
2.74,0.81192192113991
2.75,0.834151382643752
2.76,0.852893674144949
2.77,0.868772803432484
2.78,0.882298513562711
2.79,0.893884024233926
2.8,0.903863385224847
2.81,0.912506730755741
2.82,0.92003300621026
2.83,0.926620292560539
2.84,0.932414054693922
2.85,0.937533678997507
2.86,0.942077637408656
2.87,0.946127564451795
2.88,0.94975148055177
2.89,0.953006347127225
2.9,0.955940099014303
2.91,0.958593267605499
2.92,0.96100028274047
2.93,0.963190521652645
2.94,0.965189158015957
2.95,0.967017852372332
2.96,0.968695316159168
2.97,0.970237774570058
2.98,0.971659348085934
2.99,0.972972368334501
3,0.974187640688477
3.01,0.975314663480956
3.02,0.976361811734081
3.03,0.97733649173962
3.04,0.978245271600924
3.05,0.979093991872011
3.06,0.979887859654992
3.07,0.980631528898242
3.08,0.981329169141669
3.09,0.981984524555959
3.1,0.982600964799805
3.11,0.983181528957294
3.12,0.983728963604305
3.13,0.9842457558785
3.14,0.984734162284537
3.15,0.985196233848598
3.16,0.98563383813902
3.17,0.986048678589559
3.18,0.986442311494801
3.19,0.986816160991621
3.2,0.987171532293845
3.21,0.987509623408404
3.22,0.987831535528171
3.23,0.988138282269151
3.24,0.988430797896195
3.25,0.988709944661542
3.26,0.988976519363635
3.27,0.989231259219285
3.28,0.989474847129958
3.29,0.989707916412457
3.3,0.989931055055294
3.31,0.99014480955418
3.32,0.990349688373551
3.33,0.990546165075093
3.34,0.990734681149407
3.35,0.990915648582476
3.36,0.991089452184966
3.37,0.991256451709017
